Gene	p_value
ENSMUSG00000048540	0.0015399794407849473
ENSMUSG00000024598	0.00215090548218465
ENSMUSG00000020178	0.0018640030535349511
ENSMUSG00000020644	0.0030738222534411152
ENSMUSG00000026610	0.0052647300414182495
ENSMUSG00000055653	0.0022932650285030984
ENSMUSG00000026787	0.00911116683071994
ENSMUSG00000000214	0.03797004491632195
ENSMUSG00000032776	0.004324258484157153
ENSMUSG00000042489	0.0004071420319641487
ENSMUSG00000059146	0.006636450453187251
ENSMUSG00000055320	0.0009292296810886622
ENSMUSG00000018589	0.0007192475385575783
ENSMUSG00000032033	0.003400687480038838
ENSMUSG00000053626	0.0017389065104193133
ENSMUSG00000036430	0.0011214508658724696
ENSMUSG00000032417	0.001091136743331647
ENSMUSG00000021609	0.005183995588227092
ENSMUSG00000029659	8.41100194275921e-06
ENSMUSG00000053368	0.0008034429991040323
ENSMUSG00000019866	0.002421350646659059
ENSMUSG00000038642	6.782831453760741e-05
ENSMUSG00000045915	1.6640476641954197e-05
ENSMUSG00000028184	0.0004661508850078948
ENSMUSG00000045648	0.00016683619385541616
ENSMUSG00000037579	0.009404111328912253
ENSMUSG00000032773	0.0023006694840444733
ENSMUSG00000021948	0.04355002761942604
ENSMUSG00000026398	0.00039982839479337146
ENSMUSG00000033910	0.0004781700784567116
ENSMUSG00000059852	0.003979144195576226
ENSMUSG00000059588	1.8762551996431702e-05
ENSMUSG00000027719	0.008459359980485364
ENSMUSG00000010461	0.0004971635399246059
ENSMUSG00000028004	0.0008295467772252213
ENSMUSG00000053519	0.011789097743215836
ENSMUSG00000005716	0.0026683364160030253
ENSMUSG00000031137	8.12624047106216e-05
ENSMUSG00000070407	0.042237118499618795
ENSMUSG00000022122	0.0008597788823039266
ENSMUSG00000023403	0.0016045927852529895
ENSMUSG00000055639	0.0074102393656507995
ENSMUSG00000027861	0.0005079812553186116
ENSMUSG00000027210	0.015956483398876693
ENSMUSG00000037771	0.0011302331954695392
ENSMUSG00000061517	0.002276828130904223
ENSMUSG00000036169	0.003148559479860194
ENSMUSG00000042961	0.00014288635505668178
ENSMUSG00000025370	4.933098974773502e-06
ENSMUSG00000027994	0.0053055796690921935
ENSMUSG00000070369	0.004215742669804682
ENSMUSG00000020591	0.0001993200959386053
ENSMUSG00000023964	0.018885405018171247
ENSMUSG00000035274	0.012356738870987663
ENSMUSG00000025324	2.608770677342277e-05
ENSMUSG00000028977	0.0006034907849854808
ENSMUSG00000024517	0.0015875988701999793
ENSMUSG00000022206	0.01549755936098776
ENSMUSG00000034898	0.001002762900274177
ENSMUSG00000036144	6.576068919033526e-05
ENSMUSG00000033685	0.020199366618774334
ENSMUSG00000015112	0.009008216229001744
ENSMUSG00000031340	0.015679318862157076
ENSMUSG00000001119	5.989693458931029e-05
ENSMUSG00000021732	0.0005201180587148244
ENSMUSG00000051159	0.00126758308295071
ENSMUSG00000013846	0.00041056930155265546
ENSMUSG00000066842	0.00161255660425358
ENSMUSG00000010175	0.0005123313291081408
ENSMUSG00000039706	2.314900191704293e-05
ENSMUSG00000055409	7.258656146577906e-05
ENSMUSG00000064179	0.007331530155053691
ENSMUSG00000039239	0.019914965535031772
ENSMUSG00000036192	0.00016683901713741655
ENSMUSG00000038255	0.006073614329133547
ENSMUSG00000056492	0.00018945753870378012
ENSMUSG00000027985	0.0024082230440234643
ENSMUSG00000026872	0.0033783862195071505
ENSMUSG00000021613	5.293677777740952e-05
ENSMUSG00000006369	3.5598007862650598e-06
ENSMUSG00000021773	0.0036322857110244015
ENSMUSG00000064325	0.0002242169517054981
ENSMUSG00000034324	0.0017709235920672524
ENSMUSG00000031659	0.002972061374591065
ENSMUSG00000022246	4.4919167168105755e-05
ENSMUSG00000023439	0.007581849166614427
ENSMUSG00000032946	0.0006350210790032964
ENSMUSG00000056752	0.007420097822359916
ENSMUSG00000041378	0.00030615584162998983
ENSMUSG00000032899	0.025557579100601198
ENSMUSG00000026830	0.00011628114465533039
ENSMUSG00000029154	0.0007574137561869469
ENSMUSG00000048776	0.00037959906329960584
ENSMUSG00000021747	8.968050685812155e-05
ENSMUSG00000030110	0.0038694986681417276
ENSMUSG00000015484	0.0031206092805602806
ENSMUSG00000052942	8.415558699928918e-05
ENSMUSG00000045515	0.0021705971607448903
ENSMUSG00000058420	0.00014500745998418372
